,Date,TransitApp-NYC,TransitApp-NYC_p
596,2020-10-26,-58,-58%
597,2020-10-25,-46,-46%
598,2020-10-24,-51,-51%
599,2020-10-23,-58,-58%
600,2020-10-22,-58,-58%
601,2020-10-21,-59,-59%
602,2020-10-20,-57,-57%
603,2020-10-19,-52,-52%
604,2020-10-18,-44,-44%
605,2020-10-17,-51,-51%
606,2020-10-16,-62,-62%
607,2020-10-15,-57,-57%
608,2020-10-14,-55,-55%
609,2020-10-13,-59,-59%
610,2020-10-12,-60,-60%
611,2020-10-11,-46,-46%
612,2020-10-10,-48,-48%
613,2020-10-09,-57,-57%
614,2020-10-08,-56,-56%
615,2020-10-07,-55,-55%
616,2020-10-06,-54,-54%
617,2020-10-05,-50,-50%
618,2020-10-04,-49,-49%
619,2020-10-03,-50,-50%
620,2020-10-02,-57,-57%
621,2020-10-01,-56,-56%
622,2020-09-30,-55,-55%
623,2020-09-29,-57,-57%
624,2020-09-28,-56,-56%
625,2020-09-27,-48,-48%
626,2020-09-26,-52,-52%
627,2020-09-25,-58,-58%
628,2020-09-24,-59,-59%
629,2020-09-23,-59,-59%
630,2020-09-22,-57,-57%
631,2020-09-21,-54,-54%
632,2020-09-20,-44,-44%
633,2020-09-19,-50,-50%
634,2020-09-18,-58,-58%
635,2020-09-17,-60,-60%
636,2020-09-16,-61,-61%
637,2020-09-15,-60,-60%
638,2020-09-14,-58,-58%
639,2020-09-13,-49,-49%
640,2020-09-12,-49,-49%
641,2020-09-11,-57,-57%
642,2020-09-10,-61,-61%
643,2020-09-09,-57,-57%
644,2020-09-08,-56,-56%
645,2020-09-07,-47,-47%
646,2020-09-06,-46,-46%
647,2020-09-05,-48,-48%
648,2020-09-04,-53,-53%
649,2020-09-03,-58,-58%
650,2020-09-02,-58,-58%
651,2020-09-01,-56,-56%
652,2020-08-31,-48,-48%
653,2020-08-30,-36,-36%
654,2020-08-29,-47,-47%
655,2020-08-28,-43,-43%
656,2020-08-27,-48,-48%
657,2020-08-26,-45,-45%
658,2020-08-25,-42,-42%
659,2020-08-24,-35,-35%
660,2020-08-23,-39,-39%
661,2020-08-22,-40,-40%
662,2020-08-21,-39,-39%
663,2020-08-20,-43,-43%
664,2020-08-19,-45,-45%
665,2020-08-18,-41,-41%
666,2020-08-17,-42,-42%
667,2020-08-16,-48,-48%
668,2020-08-15,-40,-40%
669,2020-08-14,-40,-40%
670,2020-08-13,-49,-49%
671,2020-08-12,-44,-44%
672,2020-08-11,-42,-42%
673,2020-08-10,-40,-40%
674,2020-08-09,-39,-39%
675,2020-08-08,-45,-45%
676,2020-08-07,-45,-45%
677,2020-08-06,-45,-45%
678,2020-08-05,-39,-39%
679,2020-08-04,-50,-50%
680,2020-08-03,-44,-44%
681,2020-08-02,-46,-46%
682,2020-08-01,-43,-43%
683,2020-07-31,-49,-49%
684,2020-07-30,-50,-50%
685,2020-07-29,-48,-48%
686,2020-07-28,-50,-50%
687,2020-07-27,-48,-48%
688,2020-07-26,-43,-43%
689,2020-07-25,-45,-45%
